id_partido,equipo,numero,nombre
ANG,5,HEBO Rome Antonio Diogo,15
ANG,7,LOPES Claudio Carneiro,15
ANG,79,FERREIRA Edvaldo L. Da Silva,15
ANG,8,PASCOAL Otiniel A. Cachacha,15
ANG,9,MANECO Adilson Bruno Celestino,15
QAT,10,MARZO Frankis,15
QAT,12,SARIC Danijel,15
QAT,13,ABIDI Mohamed,15
QAT,19,SASSI Marwan,15
QAT,2,ALKRAD Mustafa,15
QAT,20,DAMJANOVIC Jovo,15
QAT,23,BERRACHED Allaedine,15
QAT,33,ROMANE Houssem,15
QAT,37,SAMI Yassine,15
QAT,4,MABROUK Hassan,15
QAT,44,GUEHIS Amine,15
QAT,66,ABDELFATTAH Omar,15
QAT,7,MADADI Ahmad,15
QAT,81,DHIAB Amor,15
QAT,86,HASSABALLA Mahmoud,15
QAT,94,ZAKKAR Ameen,15
CRO,12,PESIC Ivan,16
CRO,13,HORVAT Zlatko,16
CRO,17,SARAC Josip,16
CRO,26,STRLEK Manuel,16
CRO,27,CUPIC Ivan,16
CRO,28,MUSA Zeljko,16
CRO,3,MARIC Marino,16
CRO,30,MAMIC Marko,16
CRO,31,SEBETIC Luka,16
CRO,33,CINDRIC Luka,16
CRO,34,BROZOVIC Ilija,16
CRO,35,SUNJIC Mate,16
CRO,39,MANDIC David,16
CRO,5,DUVNJAK Domagoj,16
CRO,51,MARTINOVIC Ivan,16
CRO,53,SIPIC Marin,16
JPN,12,IWASHITA Yuta,16
JPN,13,KASAHARA Kenya,16
JPN,14,KITAZUME Asumi,16
JPN,18,NARITA Kohei,16
JPN,19,TOKUDA Shinnosuke,16
JPN,20,WATANABE Jin,16
JPN,21,DOI Remi Anri,16
JPN,22,SAKAI Motoki,16
JPN,25,MOTOKI Hiroki,16
JPN,27,TAMAKAWA Hiroyasu,16
JPN,31,YOSHINO Tatsuki,16
JPN,33,AGARIE Yuto,16
JPN,36,DEMURA Naotsugu,16
JPN,38,MIZUMACHI Kotaro,16
JPN,40,TAKANO Sota,16
JPN,41,TOKUDA Rennosuke,16
EGY,11,MOAMEN Ahmed,17
EGY,15,HESHAM Ahmed,17
EGY,24,ELMASRY Ibrahim,17
EGY,25,NAWAR Wisam,17
EGY,31,ELWAKIL Omar,17
EGY,39,ELDERAA Yehia,17
EGY,42,KADDAH Hassan,17
EGY,45,ELDERAA Seif,17
EGY,5,OMAR Yahia,17
EGY,53,YOUSRI Akram,17
EGY,66,ELAHMAR Ahmed,17
EGY,88,HENDAWY Karim,17
EGY,89,MAMDOUH Mohamed,17
EGY,90,ZEIN Ali,17
EGY,91,SANAD Mohammad,17
EGY,96,ELTAYAR Mohamed,17
MKD,1,MITREVSKI Nikola,17
MKD,11,TALESKI Filip,17
MKD,12,TOMOVSKI Martin,17
MKD,17,MARKOSKI Nikola,17
MKD,18,KUZMANOVSKI Filip,17
MKD,19,KOSTESKI Nenad,17
MKD,21,TANKOSKI Mario,17
MKD,28,POPOVSKI Martin,17
MKD,29,GEORGIEVSKI Darko,17
MKD,33,PESHEVSKI Zharko,17
MKD,4,VELKOVSKI Martin,17
MKD,5,STOILOV Stojanche,17
MKD,6,DIMITRIOSKI Dimitar,17
MKD,7,LAZAROV Kiril,17
MKD,8,KUZMANOSKI Cvetan,17
MKD,97,MISHEVSKI Marko,17
CHI,1,BARRIENTOS Felipe,18
CHI,10,FEUCHTMANN Emil,18
CHI,11,SALINAS Esteban,18
CHI,12,GARCIA Felipe,18
CHI,16,GONZALEZ Vicente,18
CHI,17,SALINAS Rodrigo,18
CHI,2,CEBALLOS Sebastian,18
CHI,20,PAVEZ Sebastian,18
CHI,21,FEUCHTMANN Harald,18
CHI,23,CALLEJA Benjamin,18
CHI,29,ONETO Marco,18
CHI,30,AYALA Daniel,18
CHI,4,FEUCHTMANN Erwin,18
CHI,7,REYES Diego,18
CHI,77,DONOSO Victor,18
CHI,9,FRELIJJ Javier,18
SWE,11,PETTERSSON Daniel,18
SWE,12,PALICKA Andreas,18
SWE,15,WANNE Hampus,18
SWE,16,AGGEFORS Mikael,18
SWE,18,PETTERSSON Fredric,18
SWE,19,CLAAR Felix,18
SWE,2,CARLSBOGARD Jonathan,18
SWE,22,PELLAS Lucas,18
SWE,24,GOTTFRIDSSON Jim,18
SWE,26,PERSSON Linus,18
SWE,27,SUNNEFELDT Oskar,18
SWE,28,EDVARDSSON Jonathan,18
SWE,33,SANDELL Lukas,18
SWE,5,DARJ Max,18
SWE,62,CHRINTZ Valter,18
SWE,8,JONSSON Alfred,18
MAR,1,IDRISSI Yassine,19
MAR,10,ZAROILI Mohamed,19
MAR,12,LAAROUSSI Alae,19
MAR,13,HAKIMI Hicham,19
MAR,15,OUZROUR Younes,19
MAR,18,BELLIMAM Lahcen,19
MAR,21,FOUGANI Nacym Hamed,19
MAR,24,EZZINE Mohammed,19
MAR,46,HARCHAOUI Amine,19
MAR,7,REIDA Rezzouki,19
MAR,8,BENTALEB Mohamed Amine,19
MAR,91,ADLI Achraf,19
MAR,92,EL KACHRADI Hassan,19
MAR,93,LAKBI Ryad,19
MAR,94,ISMAILI  ALAOUI Mehdi,19
MAR,99,SLASSI Nabil,19
POR,1,QUINTANA Alfredo,19
POR,10,MARTINS Miguel,19
POR,11,MOREIRA Belone,19
POR,14,SILVA Rui,19
POR,15,SALINA Daymaro,19
POR,16,GOMES Humberto,19
POR,23,BRANQUINHO Diogo,19
