match_id,team,number,player
78,SUI,34,MILOSEVIC Alen
78,SUI,36,NOVAK Philip
78,SUI,4,RUBIN Lenny
78,SUI,44,BEN ROMDHANE Medhi
78,SUI,6,TYNOWSKI Cedrie
78,SUI,8,SVAJLEN Michal
78,SUI,9,LIER Marvin
79,CRO,12,PESIC Ivan
79,CRO,13,HORVAT Zlatko
79,CRO,15,KEVIC Janko
79,CRO,18,KARACIC Igor
79,CRO,26,STRLEK Manuel
79,CRO,27,CUPIC Ivan
79,CRO,28,MUSA Zeljko
79,CRO,3,MARIC Marino
79,CRO,30,MAMIC Marko
79,CRO,31,SEBETIC Luka
79,CRO,34,BROZOVIC Ilija
79,CRO,39,MANDIC David
79,CRO,45,JAGANJAC Halil
79,CRO,5,DUVNJAK Domagoj
79,CRO,51,MARTINOVIC Ivan
79,CRO,55,SEGO Marin
79,DEN,1,JACOBSEN Niklas Landin
79,DEN,14,ZACHARIASSEN Anders
79,DEN,15,JENSEN Magnus Saugstrup
79,DEN,20,MOLLER Kevin
79,DEN,21,JENSEN Henrik Mollgaard
79,DEN,22,LARSEN Mads Mensah
79,DEN,25,OLSEN Morten Toft
79,DEN,26,HANSEN Johan P.
79,DEN,28,ANDERSSON Lasse B.
79,DEN,31,NIELSEN Nikolaj Oris
79,DEN,32,HOLM Jacob T.
79,DEN,33,GIDSEL Mathias
79,DEN,34,JENSEN Simon Hald
79,DEN,35,CHRISTENSEN Nikolaj Laeso
79,DEN,4,JACOBSEN Magnus Landin
79,DEN,7,JAKOBSEN Emil M.
80,ARG,11,MOSCARIELLO Lucas Dario
80,ARG,15,CAROU MARCEL Gonzalo Matias
80,ARG,19,MARTINEZ CAMI Pedro
80,ARG,2,FERNANDEZ Federico Gaston
80,ARG,20,MARTINEZ Ramiro
80,ARG,22,MOURINO Gaston Alberto
80,ARG,3,PIZARRO Federico
80,ARG,4,SIMONET Sebastian Alejandro
80,ARG,40,MACIEL Leonel Carlos Sergio
80,ARG,5,VAINSTEIN Pablo
80,ARG,6,SIMONET Diego Esteban
80,ARG,7,PIZARRO Ignacio
80,ARG,77,BONANNO Nicolas
80,ARG,8,SIMONET Pablo Ariel
80,ARG,87,BAR Juan Manuel
80,ARG,9,BARONETTO Santiago
80,QAT,10,MARZO Frankis
80,QAT,12,SARIC Danijel
80,QAT,13,ABIDI Mohamed
80,QAT,19,SASSI Marwan
80,QAT,2,ALKRAD Mustafa
80,QAT,23,BERRACHED Allaedine
80,QAT,32,ALDERI Ali
80,QAT,33,ROMANE Houssem
80,QAT,37,SAMI Yassine
80,QAT,4,MABROUK Hassan
80,QAT,41,ALI Youssef
80,QAT,7,MADADI Ahmad
80,QAT,81,DHIAB Amor
80,QAT,86,HASSABALLA Mahmoud
80,QAT,9,CAPOTE Rafael
80,QAT,94,ZAKKAR Ameen
81,BRN,14,QAMBAR Qasim
81,BRN,15,ABDULREDHA Mohamed
81,BRN,18,FADHUL Ahmed
81,BRN,19,MERZA Mohamed
81,BRN,21,A.HUSAIN Mohamed
81,BRN,25,ALSHUWAIKH Qasim
81,BRN,66,MAHFOODH Komail
81,BRN,7,MERZA Ali
81,BRN,77,ALSALATNA Jasim
81,BRN,78,SALMAN Ali
81,BRN,88,ALFARDAN Hasan
81,BRN,89,SAAD Mahdi
81,BRN,9,ALSAMAHIJI Hasan
81,BRN,93,AHMED Mohamed
81,BRN,98,HABIB Mohamed
81,BRN,99,ALSAYYAD Husain
81,JPN,12,IWASHITA Yuta
81,JPN,13,KASAHARA Kenya
81,JPN,14,KITAZUME Asumi
81,JPN,18,NARITA Kohei
81,JPN,20,WATANABE Jin
81,JPN,21,DOI Remi Anri
81,JPN,22,SAKAI Motoki
81,JPN,25,MOTOKI Hiroki
81,JPN,27,TAMAKAWA Hiroyasu
81,JPN,31,YOSHINO Tatsuki
81,JPN,33,AGARIE Yuto
81,JPN,36,DEMURA Naotsugu
81,JPN,38,MIZUMACHI Kotaro
81,JPN,40,TAKANO Sota
81,JPN,41,TOKUDA Rennosuke
81,JPN,43,YOSHIDA Shuichi
82,ESP,1,PEREZ de VARGAS MORENO Gonzalo
82,ESP,10,DUJSHEBAEV DOVICHEBAEVA Alex
82,ESP,11,SARMIENTO MELIAN Daniel
82,ESP,12,CORRALES RODAL Rodrigo
82,ESP,14,SOLE SALA Ferran
82,ESP,17,FIGUERAS TREJO Adrian
82,ESP,21,CANELLAS REIXACH Joan
82,ESP,24,MORROS de ARGILA Viran
82,ESP,28,GOMEZ ABELLO Aleix
82,ESP,29,ARINO BENGOECHEA Aitor
82,ESP,30,GUARDIOLA VILLAPLANA Gedeon
82,ESP,5,MAQUEDA PENO Jorge
82,ESP,52,MARCHAN CRIADO Ruben
82,ESP,59,DUJSHEBAEV DOVICHEBAEVA Daniel
82,ESP,6,FERNANDEZ PEREZ Angel
82,ESP,9,ENTRERRIOS RODRIGUEZ Raul
82,HUN,12,SZEKELY Marton
82,HUN,15,GYORI Matyas
82,HUN,17,NAGY Bence
82,HUN,2,SIPOS Adrian
82,HUN,20,ROSTA Miklos
82,HUN,22,SUNAJKO Stefan
82,HUN,23,MATHE Dominik
82,HUN,24,BORBELY Adam
82,HUN,3,TOPIC Petar
82,HUN,30,SZITA Zoltan
82,HUN,33,ANCSIN Gabor
82,HUN,39,BODO Richard
82,HUN,47,HORNYAK Peter
82,HUN,7,BOKA Bendeguz
82,HUN,77,HANUSZ Egon
82,HUN,9,BALOGH Zsolt
83,GER,12,HEINEVETTER Silvio
83,GER,15,KNORR Juri
83,GER,18,FIRNHABER Sebastian
83,GER,20,WEBER Philipp
83,GER,22,MICHALZCIK Marian
83,GER,24,GROETZKI Patrick
83,GER,25,HAFNER Kai
83,GER,3,GENSHEIMER Uwe
83,GER,31,SCHILLER Marcel
83,GER,33,WOLF Andreas
83,GER,35,KUHN Julius
83,GER,38,BOHM Fabian
83,GER,4,GOLLA Johannes
83,GER,73,KASTENING Timo
